idx ax ay az gx gy gz
187 2076 2048 2568 9 33 56
188 2076 2048 2568 8 35 59
189 2076 2048 2568 6 35 56
190 2076 2048 2568 8 33 57
191 2076 2048 2572 8 33 57
192 2076 2048 2568 8 35 60
193 2076 2048 2568 5 34 58
194 2076 2048 2568 6 34 58
195 2076 2048 2568 6 34 60
196 2076 2048 2568 8 34 57
197 2076 2048 2568 7 33 57
198 2076 2048 2568 8 34 58
199 2076 2048 2568 7 35 59
200 2076 2048 2572 8 38 58
201 2076 2048 2572 5 33 57
202 2076 2048 2572 7 34 57
203 2076 2048 2572 4 34 57
204 2076 2048 2572 5 36 57
205 2076 2048 2568 6 35 56
206 2076 2048 2568 7 37 57
207 2076 2048 2568 5 34 58
208 2076 2048 2568 6 35 57
209 2076 2048 2568 7 32 58
210 2076 2048 2568 8 32 58
211 2076 2048 2568 6 35 59
212 2076 2048 2568 8 34 57
213 2076 2048 2568 6 34 58
214 2076 2048 2568 5 35 58
215 2076 2048 2568 6 34 57
216 2076 2048 2568 6 35 58
217 2076 2048 2572 5 33 59
218 2076 2048 2572 7 35 59
219 2076 2048 2568 6 35 58
220 2076 2048 2568 7 32 58
221 2076 2048 2568 7 33 58
222 2076 2048 2568 5 34 59
223 2076 2048 2568 7 34 58
224 2076 2048 2568 6 34 57
225 2076 2048 2568 6 34 57
226 2076 2048 2568 6 32 57
227 2076 2048 2568 9 34 58
228 2076 2048 2568 6 35 57
229 2076 2048 2568 7 35 57
230 2076 2048 2568 6 33 58
231 2076 2048 2568 6 34 57
232 2076 2048 2568 7 34 58
233 2076 2048 2568 7 31 57
234 2076 2048 2568 6 31 57
235 2076 2048 2568 5 32 57
236 2076 2048 2568 9 36 57
237 2076 2048 2568 6 31 58
238 2076 2048 2568 7 37 57
239 2076 2048 2568 6 35 59
240 2076 2048 2568 5 34 58
241 2076 2048 2568 6 36 58
242 2076 2048 2568 6 35 59
243 2076 2048 2568 6 34 56
244 2076 2044 2568 7 33 58
245 2076 2048 2568 8 34 58
246 2076 2048 2568 7 34 58
247 2076 2048 2568 7 34 57
248 2076 2048 2568 6 34 58
249 2076 2044 2568 8 35 56
250 2076 2044 2568 7 33 57
251 2076 2044 2568 7 35 57
252 2076 2048 2568 7 35 57
253 2076 2048 2568 5 34 56
254 2076 2048 2568 7 34 58
255 2072 2048 2568 6 34 57
256 2072 2048 2568 8 33 58
257 2072 2048 2568 7 34 59
258 2072 2044 2568 5 33 57
259 2076 2048 2568 8 33 59
260 2076 2048 2568 7 33 56
261 2076 2044 2568 6 33 57
262 2076 2044 2564 7 33 57
263 2076 2044 2564 6 35 57
264 2076 2044 2568 8 35 57
265 2076 2044 2568 7 33 57
266 2076 2044 2568 8 34 58
267 2076 2044 2568 6 32 57
268 2076 2048 2568 6 35 57
269 2076 2048 2568 7 33 58
270 2076 2048 2568 7 32 56
271 2076 2048 2568 9 33 57
272 2076 2048 2568 7 35 59
273 2076 2048 2568 7 33 58
274 2076 2048 2568 5 34 57
275 2076 2048 2568 7 33 57
276 2076 2048 2568 7 33 58
277 2076 2048 2568 5 34 56
278 2076 2048 2568 6 35 57
279 2076 2048 2568 7 32 57
280 2076 2048 2568 7 35 58
281 2076 2048 2568 8 34 59
282 2076 2048 2568 8 33 59
283 2076 2048 2568 8 33 57
284 2076 2048 2568 7 36 56
285 2076 2048 2568 9 32 58
286 2076 2048 2568 4 35 58
287 2076 2048 2568 8 33 58
288 2076 2048 2568 7 35 58
289 2076 2048 2568 6 34 57
290 2076 2048 2568 6 33 57
291 2076 2048 2568 7 33 56
292 2076 2048 2568 7 34 58
293 2076 2048 2568 7 34 57
294 2076 2044 2568 8 34 57
295 2076 2048 2568 6 33 58
296 2076 2048 2568 7 35 57
297 2076 2048 2568 5 35 60
298 2076 2048 2568 6 34 58
299 2076 2048 2568 6 34 57
300 2076 2048 2568 6 33 57
301 2076 2048 2568 7 34 56
302 2076 2048 2568 7 34 59
303 2076 2048 2568 7 35 58
304 2076 2048 2568 6 34 59
305 2076 2048 2568 7 35 58
306 2076 2048 2568 8 34 58
307 2076 2048 2568 6 33 58
308 2076 2048 2564 7 35 57
309 2076 2048 2568 6 33 57
310 2076 2048 2568 6 32 58
311 2076 2048 2568 6 35 57
312 2076 2048 2568 7 35 58
313 2076 2048 2568 6 34 57
314 2076 2048 2568 6 32 57
315 2076 2048 2568 4 34 58
316 2076 2048 2568 7 36 59
317 2076 2048 2568 7 35 57
318 2076 2048 2568 6 34 58
319 2076 2048 2568 6 34 56
320 2076 2048 2568 7 33 57
321 2076 2048 2568 7 36 57
322 2076 2048 2568 8 34 58
323 2076 2048 2568 7 33 58
324 2076 2048 2568 6 34 57
325 2076 2048 2568 6 34 59
326 2076 2048 2568 6 32 57
327 2076 2048 2568 9 32 58
328 2076 2048 2568 6 34 56
329 2076 2048 2568 7 35 56
330 2076 2048 2568 7 33 57
331 2076 2048 2568 7 32 58
332 2076 2048 2568 8 34 57
333 2076 2048 2568 6 36 57
334 2076 2048 2568 7 35 57
335 2076 2048 2564 6 30 58
336 2076 2048 2564 6 34 59
337 2076 2048 2564 8 34 59
338 2076 2048 2564 6 34 58
339 2076 2048 2564 7 34 59
340 2076 2048 2564 6 35 59
341 2076 2048 2564 5 34 58
342 2076 2048 2564 7 34 58
343 2076 2048 2564 7 33 58
344 2076 2048 2568 8 36 56
345 2076 2048 2568 5 34 56
346 2076 2048 2568 5 32 58
347 2076 2048 2568 9 34 57
348 2076 2048 2568 8 33 57
349 2076 2048 2568 6 36 57
350 2076 2048 2568 7 33 58
351 2076 2048 2568 7 33 58
352 2076 2048 2568 9 35 58
353 2076 2048 2568 7 35 58
354 2072 2048 2568 5 33 58
355 2076 2048 2568 5 33 58
356 2076 2048 2568 5 32 56
357 2076 2048 2568 7 35 58
358 2076 2048 2568 6 33 59
359 2076 2048 2568 6 33 59
360 2076 2048 2568 9 34 57
361 2076 2048 2568 7 32 58
362 2076 2048 2568 5 34 59
363 2076 2048 2568 6 31 58
364 2076 2048 2568 5 35 57
365 2076 2048 2568 6 35 59
366 2076 2048 2568 7 33 57
367 2076 2048 2568 6 34 58
368 2076 2048 2568 7 34 58
369 2076 2048 2568 7 33 56
370 2076 2048 2568 6 33 58
371 2076 2048 2568 6 34 56
372 2076 2048 2568 5 31 57
373 2076 2048 2568 7 35 57
374 2076 2048 2568 6 35 57
375 2076 2048 2568 8 35 57
376 2076 2048 2568 7 35 58
377 2076 2044 2568 6 33 59
378 2076 2048 2568 7 34 59
379 2076 2048 2568 7 32 60
380 2076 2048 2568 8 32 58
381 2076 2048 2568 6 35 60
382 2076 2048 2568 5 35 58
383 2076 2048 2568 6 33 57
384 2076 2048 2568 5 34 58
385 2076 2048 2568 6 35 58
386 2076 2048 2568 5 34 58
387 2076 2048 2568 7 33 58
388 2076 2048 2568 7 32 59
389 2076 2048 2568 7 36 60
390 2076 2048 2564 6 34 58
391 2076 2048 2568 7 32 58
392 2076 2048 2568 7 33 57
393 2076 2044 2564 6 34 58
394 2076 2048 2564 6 34 58
395 2076 2048 2564 8 33 58
396 2076 2048 2564 7 34 57
397 2076 2048 2564 6 34 57
398 2072 2048 2568 5 35 58
399 2072 2048 2568 7 35 58
400 2072 2048 2564 7 36 57
401 2072 2048 2568 7 34 58
402 2076 2048 2568 8 33 58
403 2076 2048 2568 7 34 56
404 2076 2048 2568 6 31 57
405 2076 2048 2568 7 33 57
406 2076 2048 2568 6 34 56
407 2076 2048 2568 7 33 58
408 2076 2048 2568 9 34 57
409 2076 2048 2568 8 34 59
410 2076 2048 2568 6 35 59
411 2076 2048 2568 8 33 58
412 2076 2048 2568 9 33 57
413 2076 2048 2568 6 34 58
414 2076 2048 2568 7 34 57
415 2076 2048 2568 6 34 58
416 2076 2048 2568 6 32 56
417 2076 2048 2568 6 33 58
418 2076 2048 2568 7 35 57
419 2076 2048 2564 6 35 58
420 2076 2048 2568 8 35 56
421 2076 2048 2568 6 33 58
422 2076 2048 2568 7 33 58
423 2076 2048 2568 6 36 58
424 2076 2048 2568 6 33 58
425 2076 2048 2568 6 34 58
426 2076 2048 2568 8 37 58
427 2076 2048 2568 8 36 58
428 2076 2048 2568 6 35 58
429 2076 2048 2568 7 33 58
