t_s,seq,gx_dps,gy_dps,gz_dps,ax_g,ay_g,az_g,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0.315,7410,0.01,-0.00,-0.05,-0.028,-0.012,-0.995,2068,2056,2572,18,37,57
0.320,7411,0.01,-0.00,-0.05,-0.028,-0.020,-0.995,2068,2060,2572,18,37,57
0.325,7412,0.01,-0.00,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,37,56
0.330,7413,-0.05,-0.12,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,17,39,58
0.335,7414,0.07,0.06,0.13,-0.020,-0.012,-0.995,2072,2056,2572,19,36,54
0.340,7415,0.01,0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,36,56
0.345,7416,-0.05,0.06,0.07,-0.020,-0.012,-0.995,2072,2056,2572,17,36,55
0.350,7417,-0.05,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,39,56
0.355,7418,-0.05,-0.06,0.13,-0.020,-0.012,-0.995,2072,2056,2572,17,38,54
0.360,7419,0.01,-0.00,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,37,57
0.365,7420,0.01,-0.00,0.01,-0.012,-0.012,-1.003,2076,2056,2576,18,37,56
0.370,7421,-0.05,-0.00,-0.12,-0.020,-0.012,-0.995,2072,2056,2572,17,37,58
0.375,7422,-0.12,-0.00,0.07,-0.020,-0.012,-0.995,2072,2056,2572,16,37,55
0.380,7423,-0.05,-0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,17,39,56
0.386,7424,-0.05,-0.06,0.01,-0.012,-0.012,-1.003,2076,2056,2576,17,38,56
0.390,7425,0.01,0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,18,36,57
0.395,7426,-0.05,-0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,38,56
0.400,7427,0.07,0.12,0.01,-0.020,-0.012,-0.995,2072,2056,2572,19,35,56
0.405,7428,0.01,0.06,-0.05,-0.020,-0.012,-0.995,2072,2056,2572,18,36,57
0.410,7429,0.01,-0.06,0.01,-0.020,-0.012,-0.995,2072,2056,2572,18,38,56
0.415,7430,0.01,0.12,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,18,35,57
0.420,7431,0.07,0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,19,36,56
0.425,7432,-0.05,-0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,38,56
0.430,7433,0.07,0.06,0.01,-0.020,-0.012,-1.003,2072,2056,2576,19,36,56
0.435,7434,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
0.440,7435,0.01,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,18,37,56
0.445,7436,0.07,-0.00,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,19,37,57
0.450,7437,0.01,-0.00,0.07,-0.020,-0.012,-1.003,2072,2056,2576,18,37,55
0.455,7438,-0.12,-0.00,-0.12,-0.020,-0.012,-1.003,2072,2056,2576,16,37,58
0.460,7439,-0.05,-0.00,0.01,-0.020,-0.012,-1.003,2072,2056,2576,17,37,56
0.465,7440,-0.12,0.06,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,16,36,57
0.470,7441,0.01,0.12,-0.05,-0.020,-0.012,-1.003,2072,2056,2576,18,35,57
