t,state,action,arm,b,emerg,raw_thr,raw_roll,raw_pitch,raw_yaw,sent_roll,sent_pitch,sent_gaz,sent_yaw
1.838,ARMED,move r+0.00 p-0.45 g+0.00 y+0.00,1.00,0.00,-1.00,0.000,0.000,-0.600,0.000,0.000,-0.450,0.000,0.000
1.877,ARMED,move r+0.00 p-0.45 g+0.00 y+0.00,1.00,0.00,-1.00,0.000,0.000,-0.600,0.000,0.000,-0.450,0.000,0.000
1.915,ARMED,move r+0.00 p-0.45 g+0.00 y+0.00,1.00,0.00,-1.00,0.000,0.000,-0.600,0.000,0.000,-0.450,0.000,0.000
1.954,ARMED,move r+0.00 p-0.45 g+0.00 y+0.00,1.00,0.00,-1.00,0.000,0.000,-0.600,0.000,0.000,-0.450,0.000,0.000
1.992,ARMED,move r+0.00 p-0.45 g+0.00 y+0.00,1.00,0.00,-1.00,0.000,0.000,-0.600,0.000,0.000,-0.450,0.000,0.000
2.028,ARMED,move r+0.00 p-0.45 g+0.00 y+0.00,1.00,0.00,-1.00,0.000,0.000,-0.600,0.000,0.000,-0.450,0.000,0.000
2.067,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.105,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.144,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.182,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.219,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.256,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.295,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.333,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.370,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.407,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.444,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.483,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.521,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.556,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.591,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.628,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.663,ARMED,move r+0.26 p+0.00 g+0.00 y+0.35,1.00,0.00,-1.00,0.000,0.400,0.000,0.500,0.256,0.000,0.000,0.348
2.701,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
2.736,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
2.779,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
2.820,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
2.862,ARMED,move r+0.00 p+0.00 g+0.56 y+0.00,1.00,0.00,-1.00,0.700,0.000,0.000,0.000,0.000,0.000,0.564,0.000
