t,wall,state,action,arm,b,emerg,raw_thr,raw_roll,raw_pitch,raw_yaw,sent_roll,sent_pitch,sent_gaz,sent_yaw,roll_deg,pitch_deg,yaw_deg,alt_mm,m1,m2,m3,m4
1.227,1783037950.824,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,
1.231,1783037950.829,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,,,,,,,,
1.265,1783037950.862,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.182,0.313,0.592,0,0,0,0,0
1.300,1783037950.897,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.182,0.313,0.592,0,0,0,0,0
1.343,1783037950.940,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.181,0.314,0.592,0,0,0,0,0
1.368,1783037950.965,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.181,0.314,0.592,0,0,0,0,0
1.402,1783037950.999,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.188,0.313,0.592,0,0,0,0,0
1.436,1783037951.033,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.188,0.313,0.592,0,0,0,0,0
1.469,1783037951.066,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.185,0.318,0.592,0,0,0,0,0
1.503,1783037951.100,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.185,0.318,0.592,0,0,0,0,0
1.536,1783037951.133,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.182,0.322,0.596,0,0,0,0,0
1.570,1783037951.167,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.182,0.322,0.596,0,0,0,0,0
1.605,1783037951.202,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.181,0.323,0.599,0,0,0,0,0
1.639,1783037951.236,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.178,0.325,0.601,0,0,0,0,0
1.673,1783037951.270,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.178,0.325,0.601,0,0,0,0,0
1.707,1783037951.304,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.174,0.33,0.603,0,0,0,0,0
1.741,1783037951.338,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.174,0.33,0.603,0,0,0,0,0
1.774,1783037951.372,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.17,0.334,0.606,0,0,0,0,0
1.809,1783037951.406,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.17,0.334,0.606,0,0,0,0,0
1.842,1783037951.439,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.167,0.337,0.606,0,0,0,0,0
1.876,1783037951.473,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.167,0.337,0.606,0,0,0,0,0
1.911,1783037951.508,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.162,0.341,0.607,0,0,0,0,0
1.945,1783037951.542,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.162,0.341,0.607,0,0,0,0,0
1.978,1783037951.575,DISARMED,idle,-1.00,0.00,-1.00,0.000,0.000,0.000,0.000,,,,,0.158,0.347,0.608,0,0,0,0,0
